FECHA,FUENTE,ARTICULO,PROMEDIO,MINIMO,MAXIMO
2025-04-23,Medellín, Central Mayorista de Antioquia,Perejil,3,913.00,3,800.00,4,000.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Apio,763.00,700.00,800.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,725.00,2,600.00,2,800.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Cilantro,3,075.00,3,000.00,3,200.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Espinaca,2,125.00,2,000.00,2,200.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,925.00,1,800.00,2,000.00
2025-04-24,Medellín, Central Mayorista de Antioquia,Perejil,3,925.00,3,800.00,4,000.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Apio,775.00,700.00,800.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,425.00,2,300.00,2,500.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Cilantro,3,100.00,3,000.00,3,200.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Coles,1,900.00,1,800.00,2,000.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Espinaca,2,075.00,2,000.00,2,200.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,625.00,1,500.00,1,700.00
2025-04-25,Medellín, Central Mayorista de Antioquia,Perejil,3,913.00,3,800.00,4,000.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Apio,750.00,700.00,800.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,763.00,2,700.00,2,800.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Cilantro,3,100.00,3,000.00,3,200.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Espinaca,2,250.00,2,200.00,2,300.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,625.00,1,500.00,1,700.00
2025-04-26,Medellín, Central Mayorista de Antioquia,Perejil,3,925.00,3,800.00,4,000.00
2025-04-27,,,,,
2025-04-28,Medellín, Central Mayorista de Antioquia,Apio,750.00,700.00,800.00
2025-04-28,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,975.00,2,800.00,3,000.00
2025-04-28,Medellín, Central Mayorista de Antioquia,Cilantro,3,475.00,3,300.00,3,500.00
2025-04-28,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-28,Medellín, Central Mayorista de Antioquia,Espinaca,2,263.00,2,200.00,2,300.00
2025-04-28,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,625.00,1,500.00,1,700.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Apio,750.00,700.00,800.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,938.00,2,800.00,3,000.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Cilantro,3,925.00,3,800.00,4,000.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Espinaca,2,250.00,2,200.00,2,300.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,788.00,1,700.00,1,800.00
2025-04-29,Medellín, Central Mayorista de Antioquia,Perejil,3,900.00,3,800.00,4,000.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Apio,750.00,700.00,800.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,613.00,2,500.00,2,800.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Cilantro,3,025.00,3,000.00,3,200.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Espinaca,2,100.00,2,000.00,2,200.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,925.00,1,800.00,2,000.00
2025-04-30,Medellín, Central Mayorista de Antioquia,Perejil,3,925.00,3,800.00,4,000.00
2025-05-01,,,,,
2025-05-02,Medellín, Central Mayorista de Antioquia,Apio,900.00,800.00,1,000.00
